,0
0,0
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,1
9,1
10,1
11,0
12,1
13,1
14,1
15,0
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,1
24,0
25,0
26,1
27,1
28,0
29,0
30,0
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,0
39,0
40,1
41,1
42,1
43,0
44,1
45,0
46,0
47,0
48,1
49,1
50,0
51,1
52,0
53,1
54,1
55,0
56,1
57,0
58,1
59,0
60,0
61,1
62,0
63,1
64,0
65,0
66,1
67,0
68,1
69,1
70,0
71,1
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,0
99,1
100,1
101,0
102,1
103,0
104,1
105,1
106,1
107,0
108,1
109,0
110,1
111,0
112,1
113,0
114,0
115,0
116,1
117,0
118,0
119,1
120,1
121,0
122,1
123,1
124,0
125,1
126,0
127,1
128,0
129,1
130,0
131,0
132,0
133,1
134,0
135,0
136,1
137,1
138,1
139,1
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,1
149,1
150,0
151,0
152,0
153,1
154,0
155,1
156,0
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,0
165,1
166,0
167,0
168,1
169,1
170,0
171,0
172,0
173,0
174,1
175,1
176,0
177,0
178,1
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,0
187,1
188,1
189,0
190,1
191,1
192,0
193,1
194,1
195,1
196,1
197,1
198,0
199,1
200,0
201,0
202,1
203,0
204,1
205,1
206,0
207,1
208,0
209,1
210,0
211,0
212,1
213,0
214,0
215,1
216,0
217,0
218,1
219,1
220,1
221,1
222,1
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,1
231,0
232,1
233,0
234,1
235,0
236,1
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,1
246,1
247,1
248,1
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,1
257,0
258,1
259,1
260,0
261,1
262,0
263,0
264,1
265,0
266,0
267,0
268,1
269,1
270,1
271,0
272,1
273,1
274,1
275,0
276,0
277,0
278,1
279,1
280,1
281,0
282,0
283,0
284,1
285,0
286,0
287,1
288,1
289,0
290,1
291,0
292,0
293,1
294,1
295,1
296,0
297,1
298,0
299,1
300,0
301,0
302,0
303,1
304,1
305,0
306,0
307,1
308,1
309,0
310,0
311,1
312,0
313,1
314,1
315,1
316,0
317,0
318,0
319,1
320,0
321,1
322,1
323,1
324,0
325,1
326,1
327,0
328,1
329,1
330,0
331,1
332,1
333,0
334,0
335,1
336,1
337,1
338,1
339,1
340,0
341,1
342,1
343,1
344,0
345,0
346,1
347,1
348,0
349,1
350,1
351,1
352,0
353,1
354,0
355,0
356,0
357,1
358,0
359,0
360,1
361,1
362,0
363,0
364,1
365,1
366,0
367,0
368,0
369,0
370,1
371,1
372,0
373,1
374,0
375,0
376,0
377,1
378,1
379,1
380,0
381,0
382,0
383,1
384,1
385,1
386,1
387,1
388,1
389,0
390,1
391,0
392,0
393,0
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,0
402,0
403,1
404,1
405,0
406,0
407,0
408,1
409,0
410,1
411,1
412,1
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,1
421,0
422,1
423,0
424,1
425,0
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,0
434,1
435,1
436,1
437,0
438,1
439,1
440,0
441,0
442,1
443,1
444,0
445,1
446,1
447,0
448,0
449,0
450,1
451,1
452,0
453,1
454,0
455,1
456,1
457,0
458,1
459,1
460,1
461,0
462,1
463,1
464,0
465,0
466,0
467,0
468,1
469,1
470,1
471,0
472,0
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,1
481,1
482,1
483,1
484,0
485,1
486,1
487,1
488,1
489,1
490,0
491,1
492,1
493,0
494,0
495,1
496,1
497,1
498,0
499,0
500,0
501,0
502,0
503,1
504,1
505,0
506,0
507,1
508,0
509,0
510,1
511,0
512,0
513,0
514,0
515,1
516,0
517,0
518,1
519,0
520,1
521,0
522,1
523,0
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,0
