,0
0,0
1,0
2,1
3,1
4,1
5,1
6,0
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,1
18,0
19,0
20,1
21,0
22,0
23,1
24,1
25,1
26,0
27,0
28,1
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,0
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,1
64,0
65,0
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,1
90,1
91,1
92,1
93,0
94,1
95,0
96,0
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,1
105,0
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,0
116,1
117,1
118,0
119,1
120,1
121,1
122,1
123,0
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,1
132,0
133,1
134,0
135,0
136,0
137,1
138,1
139,1
140,0
141,0
142,0
143,0
144,1
145,0
146,1
147,1
148,1
149,1
150,0
151,0
152,0
153,1
154,0
155,0
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,0
167,1
168,1
169,1
170,1
171,0
172,0
173,1
174,0
175,0
176,1
177,0
178,0
179,1
180,0
181,1
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,0
190,1
191,1
192,0
193,0
194,0
195,0
196,1
197,1
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,1
206,1
207,1
208,0
209,1
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,0
231,0
232,1
233,1
234,1
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,1
244,1
245,1
246,0
247,1
248,1
249,0
250,0
251,0
252,1
253,0
254,0
255,1
256,1
257,0
258,1
259,0
260,0
261,1
262,0
263,0
264,1
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,1
273,1
274,1
275,0
276,1
277,0
278,1
279,1
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,0
298,1
299,1
300,1
301,1
302,0
303,0
304,1
305,1
306,1
307,0
308,1
309,1
310,1
311,0
312,0
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,0
321,0
322,0
323,1
324,0
325,0
326,1
327,0
328,0
329,0
330,1
331,1
332,1
333,0
334,0
335,1
336,1
337,0
338,0
339,0
340,0
341,1
342,0
343,1
344,1
345,0
346,1
347,0
348,1
349,1
350,0
351,0
352,0
353,0
354,1
355,0
356,0
357,1
358,1
359,0
360,1
361,1
362,0
363,0
364,0
365,1
366,1
367,0
368,1
369,0
370,1
371,0
372,1
373,0
374,1
375,1
376,0
377,0
378,1
379,1
380,0
381,0
382,0
383,1
384,1
385,1
386,1
387,1
388,0
389,0
390,1
391,0
392,0
393,0
394,1
395,1
396,1
397,0
398,0
399,0
400,1
401,1
402,0
403,1
404,0
405,0
406,0
407,1
408,0
409,1
410,0
411,0
412,1
413,0
414,0
415,1
416,1
417,0
418,0
419,1
420,0
421,1
422,1
423,0
424,0
425,0
426,1
427,1
428,1
429,0
430,1
431,1
432,1
433,0
434,1
435,0
436,1
437,0
438,0
439,1
440,1
441,0
442,1
443,1
444,1
445,1
446,0
447,0
448,1
449,0
450,0
451,1
452,1
453,0
454,0
455,0
456,0
457,0
458,0
459,1
460,1
461,0
462,1
463,1
464,0
465,0
466,0
467,1
468,0
469,1
470,0
471,0
472,1
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,1
481,1
482,1
483,1
484,0
485,1
486,1
487,0
488,1
489,1
490,1
491,1
492,0
493,0
494,0
495,1
496,1
497,1
498,0
499,1
500,0
501,1
502,0
503,1
504,1
505,1
506,0
507,1
508,0
509,0
510,1
511,0
512,1
513,0
514,0
515,1
516,0
517,0
518,1
519,1
520,1
521,0
522,1
523,0
524,0
525,1
526,1
527,1
528,1
529,1
530,0
531,0
532,0
