,0
0,6
1,6
2,0
3,15
4,25
5,6
6,11
7,0
8,8
9,5
10,16
11,15
12,17
13,6
14,2
15,0
16,3
17,23
18,19
19,16
20,11
21,19
22,13
23,13
24,8
25,22
26,2
27,25
28,25
29,22
30,12
31,17
32,21
33,0
34,16
35,0
36,20
37,12
38,23
39,0
40,6
41,13
42,18
43,24
44,16
45,18
46,7
47,5
48,21
49,3
50,4
51,20
52,20
53,10
54,10
55,6
56,1
57,19
58,9
59,16
60,13
61,18
62,7
63,1
64,17
65,23
66,7
67,5
68,10
69,3
70,20
71,4
72,10
73,21
74,22
75,10
76,14
77,11
78,3
79,7
80,2
81,4
82,2
83,1
84,15
85,5
86,4
87,3
88,17
89,3
90,11
91,14
92,4
93,21
94,21
95,0
96,4
97,19
98,11
99,16
100,11
101,10
102,14
103,17
104,25
105,14
106,18
107,12
108,11
109,4
110,2
111,6
112,21
113,23
114,11
115,3
116,21
117,22
118,21
119,17
120,23
121,22
122,18
123,18
124,4
125,0
126,8
127,5
128,7
129,15
130,12
131,4
132,21
133,1
134,25
135,20
136,3
137,22
138,14
139,7
140,1
141,17
142,0
143,24
144,4
145,16
146,18
147,15
148,16
149,8
150,20
151,3
152,22
153,8
154,25
155,7
156,23
157,10
158,6
159,21
160,6
161,13
162,15
163,21
164,17
165,25
166,21
167,21
168,0
169,24
170,20
171,16
172,0
173,25
174,14
175,6
176,7
177,24
178,8
179,24
180,13
181,19
182,18
183,16
184,23
185,16
186,10
187,20
188,21
189,9
190,25
191,22
192,1
193,18
194,0
195,21
196,1
197,10
198,24
199,20
200,24
201,21
202,22
203,10
204,21
205,6
206,24
207,25
208,25
209,18
210,1
211,5
212,24
213,15
214,9
215,17
216,3
217,8
218,7
219,9
220,12
221,17
222,11
223,19
224,18
225,8
226,8
227,12
228,20
229,24
230,14
231,20
232,6
233,15
234,3
235,25
236,12
237,10
238,4
239,6
240,14
241,4
242,12
243,21
244,18
245,12
246,20
247,18
248,16
249,4
250,13
251,1
252,19
253,10
254,8
255,1
256,1
257,24
258,10
259,24
260,11
261,6
262,2
263,16
264,11
265,17
266,14
267,4
268,16
269,18
270,7
271,19
272,13
273,12
274,9
275,25
276,17
277,13
278,4
279,8
280,16
281,20
282,0
283,9
284,15
285,8
286,9
287,9
288,10
289,23
290,19
291,1
292,18
293,3
294,6
295,16
296,0
297,9
298,4
299,12
300,8
301,8
302,21
303,9
304,23
305,0
306,10
307,14
308,14
309,25
310,4
311,8
312,8
313,4
314,12
315,21
316,9
317,2
318,17
319,1
320,5
321,8
322,9
323,1
324,5
325,19
326,9
327,18
328,10
329,3
330,15
331,5
332,12
333,22
334,5
335,20
336,5
337,7
338,19
339,23
340,17
341,4
342,19
343,23
344,19
345,3
346,14
347,24
348,20
349,3
350,20
351,4
352,20
353,11
354,23
355,2
356,10
357,0
358,23
359,14
360,22
361,2
362,12
363,3
364,16
365,15
366,11
367,1
368,20
369,8
370,22
371,20
372,9
373,19
374,13
375,2
376,14
377,8
378,14
379,11
380,13
381,12
382,7
383,20
384,19
385,25
386,23
387,4
388,14
389,11
390,1
391,11
392,13
393,7
394,1
395,2
396,20
397,3
398,23
399,22
400,19
401,14
402,24
403,7
404,5
405,8
406,15
407,17
408,12
409,0
410,18
411,25
412,2
413,24
414,12
415,13
416,1
417,11
418,16
419,22
420,3
421,25
422,7
423,18
424,7
425,19
426,6
427,15
428,22
429,1
430,3
431,20
432,11
433,0
434,12
435,19
436,13
437,15
438,9
439,5
440,4
441,15
442,11
443,2
444,17
445,6
446,18
447,20
448,12
449,3
450,17
451,7
452,7
453,8
454,24
455,3
456,21
457,8
458,20
459,4
460,5
461,7
462,0
463,15
464,21
465,20
466,13
467,5
468,23
469,10
470,20
471,7
472,17
473,11
474,3
475,7
476,11
477,14
478,15
479,5
480,14
481,22
482,5
483,12
484,25
485,4
486,19
487,3
488,13
489,23
490,22
491,10
492,20
493,13
494,5
495,0
496,7
497,20
498,14
499,7
500,15
501,22
502,24
503,10
504,1
505,25
506,0
507,14
508,21
509,16
510,20
511,16
512,9
513,5
514,10
515,9
516,19
517,22
518,18
519,10
520,15
521,4
522,15
523,16
524,0
525,20
526,16
527,7
528,5
529,23
530,19
531,1
532,25
533,5
534,11
535,20
536,11
537,10
538,13
539,11
540,14
541,8
542,23
543,8
544,11
545,2
546,24
547,21
548,0
549,0
550,9
551,19
552,10
553,20
554,8
555,7
556,15
557,9
558,22
559,12
560,4
561,21
562,24
563,23
564,23
565,3
566,24
567,19
568,2
569,5
570,13
571,11
572,3
573,12
574,13
575,0
576,24
577,10
578,3
579,9
580,25
581,6
582,22
583,9
584,3
585,15
586,18
587,9
588,4
589,15
590,23
591,19
592,14
593,13
594,5
595,13
596,15
597,24
598,24
599,20
600,12
601,10
602,17
603,22
604,1
605,4
606,2
607,6
608,4
609,21
610,0
611,4
612,8
613,1
614,11
615,6
616,5
617,16
618,21
619,15
620,0
621,23
622,22
623,24
624,11
625,2
626,22
627,0
628,2
629,20
630,8
631,13
632,1
633,2
634,6
635,18
636,5
637,5
638,10
639,23
640,9
641,8
642,25
643,14
644,25
645,14
646,20
647,16
648,0
649,13
650,24
651,6
652,0
653,14
654,20
655,0
656,16
657,20
658,15
659,14
660,20
661,8
662,16
663,9
664,2
665,21
666,15
667,25
668,16
669,18
670,9
671,22
672,3
673,17
674,11
675,3
676,5
677,3
678,14
679,24
680,22
681,13
