,0
0,6
1,6
2,0
3,5
4,25
5,6
6,23
7,0
8,19
9,0
10,11
11,15
12,1
13,6
14,22
15,0
16,13
17,11
18,6
19,15
20,11
21,14
22,20
23,20
24,17
25,12
26,2
27,18
28,16
29,20
30,0
31,23
32,12
33,19
34,15
35,0
36,11
37,18
38,18
39,12
40,6
41,0
42,18
43,18
44,16
45,15
46,14
47,4
48,6
49,3
50,4
51,20
52,11
53,6
54,19
55,15
56,23
57,19
58,9
59,16
60,20
61,18
62,7
63,1
64,11
65,23
66,7
67,9
68,22
69,22
70,8
71,20
72,18
73,23
74,22
75,19
76,11
77,6
78,3
79,3
80,7
81,1
82,17
83,1
84,20
85,4
86,15
87,13
88,23
89,3
90,8
91,7
92,23
93,21
94,23
95,0
96,14
97,7
98,6
99,18
100,11
101,19
102,14
103,17
104,20
105,6
106,18
107,12
108,14
109,4
110,1
111,8
112,21
113,11
114,7
115,0
116,14
117,22
118,2
119,16
120,23
121,22
122,18
123,20
124,13
125,0
126,8
127,13
128,7
129,13
130,17
131,8
132,21
133,1
134,23
135,6
136,3
137,22
138,14
139,14
140,14
141,17
142,19
143,13
144,5
145,16
146,8
147,15
148,16
149,21
150,20
151,12
152,7
153,0
154,25
155,14
156,11
157,6
158,1
159,21
160,0
161,0
162,14
163,21
164,18
165,4
166,18
167,23
168,21
169,1
170,23
171,12
172,10
173,20
174,14
175,6
176,7
177,11
178,16
179,9
180,0
181,0
182,18
183,19
184,23
185,16
186,19
187,12
188,20
189,9
190,1
191,7
192,0
193,18
194,18
195,21
196,17
197,1
198,11
199,13
200,11
201,12
202,22
203,19
204,23
205,14
206,11
207,1
208,1
209,18
210,18
211,4
212,4
213,0
214,9
215,4
216,0
217,12
218,7
219,5
220,25
221,22
222,23
223,19
224,18
225,0
226,8
227,12
228,20
229,0
230,14
231,0
232,4
233,4
234,3
235,1
236,7
237,18
238,4
239,6
240,6
241,4
242,10
243,18
244,17
245,12
246,20
247,18
248,16
249,4
250,1
251,14
252,19
253,19
254,10
255,10
256,1
257,4
258,4
259,13
260,20
261,22
262,16
263,14
264,11
265,17
266,9
267,0
268,16
269,0
270,14
271,3
272,20
273,7
274,18
275,25
276,17
277,0
278,4
279,8
280,11
281,18
282,0
283,9
284,14
285,0
286,14
287,7
288,23
289,23
290,19
291,1
292,18
293,0
294,1
295,16
296,0
297,14
298,12
299,5
300,17
301,0
302,18
303,18
304,4
305,8
306,4
307,14
308,7
309,14
310,8
311,3
312,3
313,6
314,10
315,21
316,18
317,22
318,11
319,1
320,16
321,16
322,14
323,22
324,14
325,0
326,9
327,18
328,0
329,12
330,14
331,0
332,20
333,5
334,5
335,20
336,14
337,7
338,19
339,17
340,3
341,17
342,9
343,6
344,0
345,22
346,14
347,13
348,21
349,17
350,0
351,7
352,20
353,11
354,23
355,2
356,14
357,8
358,4
359,23
360,22
361,4
362,12
363,24
364,16
365,13
366,4
367,23
368,20
369,18
370,22
371,3
372,14
373,4
374,0
375,2
376,9
377,19
378,2
379,11
380,13
381,12
382,23
383,20
384,18
385,20
386,7
387,4
388,14
389,11
390,11
391,11
392,13
393,9
394,14
395,18
396,0
397,24
398,1
399,20
400,21
401,14
402,11
403,14
404,4
405,8
406,13
407,17
408,3
409,8
410,18
411,1
412,14
413,9
414,15
415,21
416,22
417,11
418,0
419,22
420,6
421,1
422,18
423,18
424,6
425,19
426,12
427,15
428,16
429,1
430,25
431,0
432,11
433,0
434,12
435,14
436,15
437,4
438,11
439,4
440,0
441,4
442,23
443,23
444,17
445,17
446,18
447,20
448,16
449,3
450,18
451,14
452,11
453,0
454,4
455,19
456,8
457,16
458,23
459,7
460,5
461,6
462,0
463,14
464,21
465,20
466,13
467,4
468,16
469,18
470,5
471,18
472,23
473,11
474,3
475,9
476,9
477,7
478,13
479,14
480,7
481,22
482,15
483,1
484,11
485,13
486,19
487,3
488,0
489,23
490,15
491,22
492,20
493,6
494,5
495,15
496,22
497,20
498,14
499,23
500,3
501,12
502,14
503,19
504,1
505,10
506,8
507,0
508,21
509,22
510,25
511,6
512,1
513,4
514,11
515,14
516,5
517,23
518,18
519,18
520,15
521,4
522,9
523,0
524,0
525,20
526,16
527,7
528,5
529,23
530,17
531,1
532,1
533,14
534,17
535,20
536,7
537,18
538,13
539,1
540,14
541,17
542,17
543,8
544,19
545,13
546,5
547,21
548,8
549,5
550,14
551,0
552,23
553,11
554,0
555,22
556,0
557,14
558,22
559,14
560,15
561,6
562,13
563,23
564,23
565,0
566,17
567,19
568,20
569,5
570,0
571,11
572,21
573,12
574,0
575,18
576,5
577,14
578,3
579,9
580,25
581,6
582,22
583,7
584,0
585,15
586,18
587,14
588,23
589,15
590,1
591,19
592,9
593,13
594,23
595,4
596,20
597,0
598,17
599,0
600,12
601,18
602,17
603,23
604,19
605,4
606,23
607,6
608,18
609,18
610,0
611,13
612,0
613,1
614,9
615,0
616,5
617,18
618,12
619,15
620,0
621,20
622,12
623,4
624,11
625,5
626,22
627,19
628,23
629,18
630,0
631,13
632,1
633,7
634,6
635,18
636,13
637,5
638,18
639,23
640,9
641,12
642,6
643,14
644,1
645,14
646,3
647,17
648,8
649,13
650,14
651,6
652,20
653,14
654,15
655,20
656,16
657,20
658,6
659,14
660,20
661,0
662,16
663,9
664,23
665,12
666,20
667,25
668,15
669,18
670,9
671,17
672,10
673,14
674,2
675,0
676,0
677,19
678,24
679,18
680,22
681,22
