,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,5
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,5
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,5
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,5
165,1
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,1
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,5
223,0
224,0
225,1
226,0
227,5
228,5
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,5
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,5
256,0
257,0
258,0
259,0
260,0
261,1
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,5
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,1
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,1
304,0
305,0
306,0
307,1
308,5
309,0
310,0
311,0
312,5
313,0
314,0
315,1
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,5
331,0
332,0
333,5
334,0
335,0
336,0
337,0
338,0
339,5
340,0
341,0
342,0
343,5
344,1
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,1
369,0
370,0
371,0
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,0
381,5
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,0
394,0
395,0
396,1
397,0
398,0
399,1
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,0
411,1
412,0
413,0
414,8
415,10
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,2
425,8
426,1
427,8
428,11
429,0
430,11
431,1
432,0
433,1
434,0
435,1
436,5
437,0
438,0
439,0
440,0
441,1
442,11
443,11
444,1
445,11
446,0
447,2
448,0
449,10
450,0
451,11
452,1
453,0
454,1
455,2
456,2
457,0
458,0
459,1
460,1
461,1
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,1
470,0
471,0
472,0
473,2
474,0
475,0
476,2
477,1
478,3
479,11
480,11
481,0
482,1
483,2
484,0
485,1
486,0
487,1
488,1
489,2
490,0
491,11
492,1
493,11
494,1
495,0
496,0
497,11
498,1
499,2
500,2
501,0
502,11
503,0
504,1
505,0
506,0
507,5
508,11
509,10
510,0
511,11
512,1
513,2
514,11
515,0
516,1
517,0
518,0
519,11
520,0
521,0
522,11
523,6
524,1
525,11
526,0
527,0
528,11
529,5
530,11
531,0
532,0
