,0
0,3
1,4
2,5
3,0
4,3
5,1
6,1
7,0
8,1
9,0
10,4
11,3
12,1
13,4
14,1
15,0
16,4
17,0
18,4
19,0
20,1
21,3
22,5
23,5
24,1
25,1
26,1
27,0
28,1
29,4
30,1
31,3
32,0
33,4
34,3
35,5
36,3
37,0
38,3
39,5
40,4
41,1
42,1
43,5
44,0
45,1
46,4
47,3
48,1
49,1
50,1
51,1
52,0
53,1
54,0
55,1
56,0
57,0
58,4
59,1
60,4
61,5
62,0
63,5
64,1
65,1
66,0
67,1
68,4
69,0
70,5
71,4
72,0
73,3
74,4
75,4
76,1
77,4
78,4
79,1
80,0
81,4
82,3
83,5
84,1
85,5
86,1
87,5
88,5
89,4
90,4
91,1
92,4
93,3
94,5
95,1
96,1
97,5
98,0
99,3
100,0
101,5
102,3
103,5
104,0
105,0
106,5
107,0
108,1
109,5
110,0
111,1
112,1
113,4
114,1
115,0
116,0
117,1
118,4
119,1
120,0
121,3
122,4
123,3
124,1
125,1
126,1
127,1
128,1
129,0
130,4
131,0
132,0
133,1
134,3
135,4
136,4
137,1
138,1
139,1
140,0
141,4
142,4
143,3
144,1
145,4
146,0
147,4
148,5
149,0
150,1
151,5
152,3
153,3
154,5
155,5
156,4
157,3
158,5
159,1
160,3
161,1
162,3
163,0
164,1
165,3
166,0
167,1
168,5
169,1
170,1
171,5
172,3
173,0
174,0
175,5
176,1
177,4
178,3
179,3
