,0
0,1
1,1
2,4
3,2
4,5
5,2
6,1
7,4
8,2
9,4
10,5
11,5
12,4
13,5
14,4
15,3
16,4
17,2
18,1
19,0
20,3
21,3
22,1
23,3
24,4
25,5
26,0
27,3
28,4
29,4
30,4
31,5
32,0
33,1
34,3
35,1
36,0
37,1
38,1
39,5
40,1
41,3
42,3
43,5
44,0
45,0
46,4
47,0
48,5
49,4
50,0
51,5
52,5
53,4
54,3
55,0
56,0
57,3
58,3
59,2
60,5
61,4
62,4
63,5
64,2
65,3
66,5
67,3
68,4
69,2
70,0
71,2
72,1
73,0
74,0
75,3
76,5
77,2
78,0
79,4
80,4
81,5
82,5
83,4
84,0
85,5
86,3
87,3
88,5
89,4
90,5
91,0
92,2
93,2
94,3
95,0
96,4
97,4
98,0
99,4
100,5
101,5
102,0
103,0
104,3
105,4
106,0
107,4
108,1
109,5
110,2
111,0
112,5
113,0
114,0
115,1
116,1
117,2
118,4
119,5
120,1
121,2
122,3
123,2
124,4
125,2
126,4
127,0
128,5
129,0
130,3
131,5
132,0
133,2
134,5
135,0
136,0
137,1
138,5
139,4
140,0
141,4
142,0
143,3
144,2
145,2
146,2
147,3
148,1
149,4
150,2
151,1
152,1
153,5
154,3
155,0
156,1
157,1
158,3
159,1
160,1
161,2
162,3
163,4
164,1
165,1
166,3
167,3
168,2
169,1
170,4
171,2
172,1
173,5
174,2
175,1
176,0
177,1
178,5
179,3
180,0
181,3
182,1
183,0
184,2
185,4
186,1
187,0
188,5
189,2
190,0
191,4
192,2
193,1
194,0
195,3
196,3
197,0
198,2
199,0
200,0
201,0
202,1
203,2
204,0
205,4
206,2
207,0
208,2
209,4
210,1
211,4
212,3
213,5
214,3
215,2
216,5
217,1
218,5
219,5
220,0
221,2
222,1
223,4
224,3
225,5
226,1
227,1
228,4
229,2
230,2
231,2
232,2
233,5
234,5
235,1
236,3
237,0
238,5
239,1
240,3
241,5
242,5
243,5
244,4
245,2
246,5
247,3
248,4
249,4
250,3
251,3
252,0
253,3
254,0
255,2
256,1
257,1
258,3
259,1
260,3
261,2
262,4
263,5
264,2
265,3
266,3
267,4
268,0
269,4
