,0
0,3
1,0
2,0
3,0
4,0
5,0
6,3
7,3
8,0
9,0
10,3
11,0
12,3
13,0
14,3
15,3
16,0
17,0
18,3
19,3
20,0
21,0
22,3
23,0
24,3
25,0
26,3
27,0
28,0
29,3
30,0
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,0
39,0
40,0
41,3
42,3
43,0
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,1
72,1
73,1
74,2
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,2
91,2
92,1
93,1
94,2
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
