,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,2
89,1
90,2
91,2
92,3
93,2
94,2
95,3
96,2
97,2
98,2
99,1
100,2
101,3
102,3
103,3
104,1
105,2
106,1
107,2
108,2
109,3
110,1
111,2
112,2
113,3
114,3
115,3
116,2
117,2
118,1
119,3
120,1
121,2
122,2
123,2
124,1
125,3
126,3
127,2
128,2
129,2
130,2
131,1
132,2
133,2
134,1
135,1
136,1
137,2
138,1
139,1
140,3
141,2
142,1
143,3
144,2
145,1
146,3
147,1
148,2
149,2
150,3
151,2
152,2
153,1
154,3
155,2
156,2
157,3
158,2
159,2
160,3
161,2
162,1
163,2
164,1
165,2
166,3
167,2
168,3
169,2
170,3
171,1
172,3
173,2
174,1
175,1
176,2
177,1
178,3
179,3
180,3
181,3
182,3
183,1
184,1
185,3
186,1
187,1
188,3
189,2
190,2
191,2
192,3
193,2
194,2
195,3
196,1
197,1
198,3
199,1
200,2
201,2
202,3
203,1
204,3
205,1
206,3
207,1
208,2
209,1
210,1
211,2
212,3
213,3
214,1
215,3
216,3
217,2
218,2
219,2
220,1
221,1
222,1
223,2
224,3
225,1
226,1
227,3
228,1
229,3
230,3
231,1
232,3
233,2
234,3
235,3
236,3
237,1
238,3
239,3
240,3
241,2
242,3
243,1
244,3
245,3
246,1
247,2
248,3
249,2
250,3
251,2
252,1
253,3
254,3
255,1
256,1
257,3
258,3
259,2
260,1
261,1
262,2
